name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,priority,prospect_score,opening_hours,source_url,maps_url,website_evidence
Passenaud H.A Métal,metal_works,craft:metal_works,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693415,"https://www.google.com/maps/search/?api=1&query=47.2102752,0.1599367",résultat ambigu (bing.com)
PC2E,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811560,"https://www.google.com/maps/search/?api=1&query=47.2148421,0.1720724",résultat ambigu (bing.com)
Peinture du Véron,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811568,"https://www.google.com/maps/search/?api=1&query=47.2178123,0.1641126",résultat ambigu (bing.com)
Phytoservice,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811580,"https://www.google.com/maps/search/?api=1&query=47.2172381,0.1645884",résultat ambigu (organesdeconcertation.sante.belgique.be)
Point P,doityourself,shop:doityourself,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693402,"https://www.google.com/maps/search/?api=1&query=47.2144215,0.1666278",résultat ambigu (bing.com)
Point S,car_repair,shop:car_repair,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811561,"https://www.google.com/maps/search/?api=1&query=47.2190842,0.1638026",résultat ambigu (bing.com)
Ponticelli,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/11020751522,"https://www.google.com/maps/search/?api=1&query=47.2189936,0.1645588",résultat ambigu (bing.com)
Prezioso Linje Bygg,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811591,"https://www.google.com/maps/search/?api=1&query=47.2186959,0.1631318",résultat ambigu (bing.com)
Redken styl'coiffure,hairdresser,shop:hairdresser,,37420,,,,uncertain,low,medium,1,"Tu-Fr 09:00-12:00,14:00-18:30; Sa 09:00-14:00",https://www.openstreetmap.org/way/189089675,"https://www.google.com/maps/search/?api=1&query=47.2009412,0.1447959",résultat ambigu (bing.com)
San T BTP,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811549,"https://www.google.com/maps/search/?api=1&query=47.2177167,0.1633629",résultat ambigu (bing.com)
Serre Tixier,garden_centre,shop:garden_centre,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/11893641640,"https://www.google.com/maps/search/?api=1&query=47.2138174,0.1608229",résultat ambigu (dict.leo.org)
Services Techniques Communautaires,government,office:government,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693412,"https://www.google.com/maps/search/?api=1&query=47.2093904,0.1596598",résultat ambigu (bing.com)
SM Elec,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811563,"https://www.google.com/maps/search/?api=1&query=47.2179572,0.1643038",résultat ambigu (bing.com)
SNEF,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693411,"https://www.google.com/maps/search/?api=1&query=47.2138263,0.1620573",résultat ambigu (bing.com)
Sols Pro Services,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811585,"https://www.google.com/maps/search/?api=1&query=47.212896,0.1711811",résultat ambigu (sologroup-paris.com)
Start People,employment_agency,office:employment_agency,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811583,"https://www.google.com/maps/search/?api=1&query=47.2196207,0.1643989",résultat ambigu (bing.com)
TPPL,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693394,"https://www.google.com/maps/search/?api=1&query=47.2137369,0.1668304",résultat ambigu (bing.com)
Yapluka,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811576,"https://www.google.com/maps/search/?api=1&query=47.2147195,0.1720506",résultat ambigu (bing.com)
Église Notre-Dame,attraction,tourism:attraction,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/70737373,"https://www.google.com/maps/search/?api=1&query=47.2479647,0.3162042",résultat ambigu (bing.com)
